Artist,Day,Hits,
Spiritualized,03/30/2018,36,46
Spiritualized,03/31/2018,36,36
Spiritualized,04/01/2018,36,36
Spiritualized,04/02/2018,36,36
Spiritualized,04/03/2018,36,36
Nujabes,04/04/2018,41,51
Nujabes,04/05/2018,41,41
Nujabes,04/06/2018,41,41
Nujabes,04/07/2018,41,41
Nujabes,04/08/2018,41,41
Perfume Genius,04/09/2018,26,36
Perfume Genius,04/10/2018,26,26
Moby,04/11/2018,28,38
Moby,04/12/2018,28,28
Moby,04/13/2018,34,44
Moby,04/14/2018,39,49
Moby,04/15/2018,39,39
Moby,04/16/2018,33,33
Santa Esmeralda,04/17/2018,22,32
Ween,04/18/2018,25,35
Ween,04/19/2018,25,25
Devendra Barnhart,04/20/2918,24,34
Devendra Barnhart,04/21/2018,27,37
The Stone Roses ,04/22/2018,25,35
Neon Neon,04/23/2018,26,36
Neon Neon,04/24/2018,30,40
Neon Neon,04/25/2018,34,44
Neon Neon,04/26/2018,34,34
Neon Neon,04/27/2018,34,34
Neon Neon,04/28/2018,34,34
Neon Neon,04/29/2018,34,34
Swans,04/30/2018,28,38
Swans,05/01/2018,37,47
The Decemberists ,05/02/2028,35,45
The Decemberists ,05/03/2018,38,48
Swans,05/04/2018,43,53
The Decemberists ,05/05/2018,38,48
The Decemberists ,05/06/2018,39,49
LCD Sound System,05/07/2018,28,38
LCD Sound System,05/08/2018,28,28
Quasimodo ,05/09/2018,24,34
Quasimodo ,05/10/2018,24,24
Quasimodo ,05/11/2018,24,24
The Flaming Lips,05/11/2018,24,34
The Flaming Lips,05/12/2018,28,38
Current 93,05/13/2018,25,35
Current 93,05/14/2018,25,25
Current 93,05/15/2018,25,25
The National,05/16/2018,22,32
The White Stripes,05/16/2018,22,32
The White Stripes,05/17/2018,30,40
The Flaming Lips,05/18/2018,27,37
The Flaming Lips,05/19/2018,26,26
The Flaming Lips,05/20/2018,26,26
The Flaming Lips,05/21/2018,26,26
The White Stripes,05/21/2018,26,36
The Flaming Lips,05/22/2018,26,26
The Flaming Lips,05/23/2018,26,26
The Flaming Lips,05/24/2018,14,14
Spiritualized,05/25/2018,12,22
Amy Shark,05/26/2018,5,15
Andre Cymone,05/26/2018,5,15
Benyaro,05/26/2018,5,15
Booher,05/27/2018,4,14
Brian Pounds,05/27/2018,4,14
Amy Shark,05/28/2018,3,13
Andre Cymone,05/28/2018,3,13
Booher,05/28/2018,3,3
Casual Strangers,05/28/2018,3,13
Centavrvs,05/28/2018,3,13
coma pony,05/28/2018,3,13
Cut Chemist,05/28/2018,3,13
Cut Copy,05/28/2018,3,13
Death Grips,05/29/2018,3,13
Dimpker Brothers,05/29/2018,3,13
Dirty Wormz,05/29/2018,3,13
Distractor,05/29/2018,3,13
Essaie Pas,05/29/2018,3,13
Estado de Sitio,05/29/2018,3,13
Faith Healer,05/29/2018,3,13
FAVX,05/29/2018,3,13
Death Grips,05/30/2018,3,3
Dimpker Brothers,05/30/2018,3,3
Essaie Pas,05/30/2018,3,3
Estado de Sitio,05/30/2018,3,3
Faith Healer,05/30/2018,3,3
FAVX,05/30/2018,3,3
Forever,05/30/2018,3,13
Frank Waln,05/30/2018,3,13
Frank Waln,05/31/2018,4,14
Gang of Youths,05/31/2018,4,14
GIRL SKIN,05/31/2018,4,14
Gold Casio,05/31/2018,4,14
Low,06/01/2018,4,14
Low,06/02/2018,4,4
Low,06/03/2018,7,17
Low,06/04/2018,7,7
Low,06/05/2018,7,7
Low,06/06/2018,7,7
Low,06/07/2018,6,6
Low,06/08/2018,5,5
Nassau,06/08/2018,5,15
Mokoomba,06/09/2018,4,14
Gang of Youths,06/09/2018,4,14
Private School,06/09/2018,4,14
Rayland Baxter,06/09/2018,4,14
Trinidad Jame$,06/09/2018,4,14
Archive,06/11/2018,5,15
Algiers,06/11/2018,5,15
Archive,06/12/2018,6,16
Beachhouse,06/12/2018,6,16
Belle and Sebastian,06/12/2018,6,16
Current 93,06/13/2018,8,18
Current 93,06/14/2018,9,19
Current 93,06/15/2018,9,9
Archive,06/15/2018,9,19
Archive,06/16/2018,9,9
Current 93,06/16/2018,9,9
Exuma,06/16/2018,9,19
Current 93,06/17/2018,9,9
Archive,06/17/2018,9,9
Exuma,06/17/2018,9,9
Current 93,06/18/2018,9,9
Exuma,06/18/2018,9,9
