Artist,Day,Hits,
Spiritualized,30/03/2018,36,46
Spiritualized,31/03/2018,36,36
Spiritualized,01/04/2018,36,36
Spiritualized,02/04/2018,36,36
Spiritualized,03/04/2018,36,36
Nujabes,04/04/2018,41,51
Nujabes,05/04/2018,41,41
Nujabes,06/04/2018,41,41
Nujabes,07/04/2018,41,41
Nujabes,08/04/2018,41,41
Perfume Genius,09/04/2018,26,36
Perfume Genius,10/04/2018,26,26
Moby,11/04/2018,28,38
Moby,12/04/2018,28,28
Moby,13/04/2018,34,44
Moby,14/04/2018,39,49
Moby,15/04/2018,39,39
Moby,16/04/2018,33,33
Santa Esmeralda,17/04/2018,22,32
Ween,18/04/2018,25,35
Ween,19/04/2018,25,25
Devendra Barnhart,20/04/2018,24,34
Devendra Barnhart,21/04/2018,27,37
The Stone Roses ,22/04/2018,25,35
Neon Neon,23/04/2018,26,36
Neon Neon,24/04/2018,30,40
Neon Neon,25/04/2018,34,44
Neon Neon,26/04/2018,34,34
Neon Neon,27/04/2018,34,34
Neon Neon,28/04/2018,34,34
Neon Neon,29/04/2018,34,34
Swans,30/04/2018,28,38
Swans,01/05/2018,37,47
The Decemberists ,02/05/2028,35,45
The Decemberists ,03/05/2018,38,48
Swans,04/05/2018,43,53
The Decemberists ,05/05/2018,38,48
The Decemberists ,06/05/2018,39,49
LCD Sound System,07/05/2018,28,38
LCD Sound System,08/05/2018,28,28
Quasimodo ,09/05/2018,24,34
Quasimodo ,10/05/2018,24,24
Quasimodo ,11/05/2018,24,24
The Flaming Lips,11/05/2018,24,34
The Flaming Lips,12/05/2018,28,38
Current 93,13/05/2018,25,35
Current 93,14/05/2018,25,25
Current 93,15/05/2018,25,25
The National,16/05/2018,22,32
The White Stripes,16/05/2018,22,32
The White Stripes,17/05/2018,30,40
The Flaming Lips,18/05/2018,27,37
The Flaming Lips,19/05/2018,26,26
The Flaming Lips,20/05/2018,26,26
The Flaming Lips,21/05/2018,26,26
The White Stripes,21/05/2018,26,36
The Flaming Lips,22/05/2018,26,26
The Flaming Lips,23/05/2018,26,26
The Flaming Lips,24/05/2018,14,14
Spiritualized,25/05/2018,12,22
Amy Shark,26/05/2018,5,15
Andre Cymone,26/05/2018,5,15
Benyaro,26/05/2018,5,15
Booher,27/05/2018,4,14
Brian Pounds,27/05/2018,4,14
Amy Shark,28/05/2018,3,13
Andre Cymone,28/05/2018,3,13
Booher,28/05/2018,3,3
Casual Strangers,28/05/2018,3,13
Centavrvs,28/05/2018,3,13
coma pony,28/05/2018,3,13
Cut Chemist,28/05/2018,3,13
Cut Copy,28/05/2018,3,13
Death Grips,29/05/2018,3,13
Dimpker Brothers,29/05/2018,3,13
Dirty Wormz,29/05/2018,3,13
Distractor,29/05/2018,3,13
Essaie Pas,29/05/2018,3,13
Estado de Sitio,29/05/2018,3,13
Faith Healer,29/05/2018,3,13
FAVX,29/05/2018,3,13
Death Grips,30/05/2018,3,3
Dimpker Brothers,30/05/2018,3,3
Essaie Pas,30/05/2018,3,3
Estado de Sitio,30/05/2018,3,3
Faith Healer,30/05/2018,3,3
FAVX,30/05/2018,3,3
Forever,30/05/2018,3,13
Frank Waln,30/05/2018,3,13
Frank Waln,31/05/2018,4,14
Gang of Youths,31/05/2018,4,14
GIRL SKIN,31/05/2018,4,14
Gold Casio,31/05/2018,4,14
Low,01/06/2018,4,14
Low,02/06/2018,4,4
Low,03/06/2018,7,17
Low,04/06/2018,7,7
Low,05/06/2018,7,7
Low,06/06/2018,7,7
Low,07/06/2018,6,6
Low,08/06/2018,5,5
Nassau,08/06/2018,5,15
Mokoomba,09/06/2018,4,14
Gang of Youths,09/06/2018,4,14
Private School,09/06/2018,4,14
Rayland Baxter,09/06/2018,4,14
Trinidad Jame$,09/06/2018,4,14
Archive,11/06/2018,5,15
Algiers,11/06/2018,5,15
Archive,12/06/2018,6,16
Beachhouse,12/06/2018,6,16
Belle and Sebastian,12/06/2018,6,16
Current 93,13/06/2018,8,18
Current 93,14/06/2018,9,19
Current 93,15/06/2018,9,9
Archive,15/06/2018,9,19
Archive,16/06/2018,9,9
Current 93,16/06/2018,9,9
Exuma,16/06/2018,9,19
Current 93,17/06/2018,9,9
Archive,17/06/2018,9,9
Exuma,17/06/2018,9,9
Current 93,18/06/2018,9,9
Exuma,18/06/2018,9,9
Current 93,19/06/2018,9,9
Exuma,19/06/2018,9,9
LCD Sound System,19/06/2018,9,19
LCD Sound System,20/06/2018,10,20
LCD Sound System,21/06/2018,10,10
Nick Cave & Bad Seeds,21/06/2018,10,20
Neon Neon,21/06/2018,10,20
Neon Neon,22/06/2018,11,21
Neon Neon,23/06/2018,11,11
Neon Neon,24/06/2018,12,22
Spiritualized,25/06/2018,19,29
Spiritualized,26/06/2018,26,36
Spiritualized,27/06/2018,27,37
Spiritualized,28/06/2018,27,27
Spiritualized,29/06/2018,27,27
Spiritualized,30/06/2018,27,27
Spiritualized,01/07/2018,27,27
Swans,02/07/2018,25,35
The Black Keys,03/07/2018,24,34
The Black Keys,04/07/2018,30,40
The White Stripes,05/07/2018,19,29
The White Stripes,06/07/2018,19,19
The White Stripes,07/07/2018,19,19
The White Stripes,08/07/2018,22,32
The White Stripes,09/07/2018,21,21
The Maine,10/07/2018,11,21
The Maine,11/07/2018,11,11
The Maine,12/07/2018,11,11
The Maine,13/07/2018,11,11
The Maine,14/07/2018,11,11
The Maine,15/07/2018,11,11
Ruby Rose Fox,16/07/2018,15,25
