Artist,Day,Hits,NoOfLoved,Score,Year,DayRanking
The Tiger Lillies,2/1/2019,18,0,30,2019,1
Valley Lodge,2/1/2019,15,0,21,2019,2
Al Holliday,2/1/2019,10,0,14,2019,3
Geoffrey Oryema,2/1/2019,10,0,14,2019,3
The Tiger Lillies,3/1/2019,18,0,18,2019,1
Just Friends,3/1/2019,17,0,23,2019,2
Valley Lodge,3/1/2019,15,0,19,2019,3
The Tiger Lillies,4/1/2019,18,0,18,2019,1
Just Friends,4/1/2019,17,0,17,2019,2
Vanishing Kids,4/1/2019,16,0,20,2019,3
Cappo & Cyrus Malachi,4/1/2019,16,0,20,2019,3
The Tiger Lillies,5/1/2019,24,0,36,2019,1
Just Friends,5/1/2019,18,0,24,2019,2
Vanishing Kids,5/1/2019,16,0,16,2019,3
Cappo & Cyrus Malachi,5/1/2019,16,0,16,2019,3
The Tiger Lillies,6/1/2019,25,0,37,2019,1
Just Friends,6/1/2019,18,0,18,2019,2
Vanishing Kids,6/1/2019,16,0,16,2019,3
Cappo & Cyrus Malachi,6/1/2019,16,0,16,2019,3
The Tiger Lillies,7/1/2019,25,0,25,2019,1
Vanishing Kids,7/1/2019,19,0,25,2019,2
Just Friends,7/1/2019,18,0,18,2019,3
The Tiger Lillies,8/1/2019,25,0,25,2019,1
Just Friends,8/1/2019,24,0,30,2019,2
Vanishing Kids,8/1/2019,19,0,23,2019,3
The Tiger Lillies,9/1/2019,25,0,25,2019,1
Just Friends,9/1/2019,24,0,24,2019,2
Vanishing Kids,9/1/2019,19,0,19,2019,3
Sacred Spirit,10/1/2019,19,0,31,2019,1
Denzel Curry,10/1/2019,16,0,22,2019,2
nonn,10/1/2019,15,0,19,2019,3
Sacred Spirit,11/1/2019,19,0,19,2019,1
nonn,11/1/2019,15,0,15,2019,2
The Tiger Lillies,11/1/2019,14,0,14,2019,3
Sacred Spirit,12/1/2019,19,0,19,2019,1
Just Friends,12/1/2019,15,0,15,2019,2
nonn,12/1/2019,15,0,15,2019,2
The Tiger Lillies,12/1/2019,14,0,14,2019,3
Sacred Spirit,13/1/2019,19,0,19,2019,1
Just Friends,13/1/2019,15,0,15,2019,2
nonn,13/1/2019,15,0,15,2019,2
The Felice Brothers,13/1/2019,12,0,16,2019,3
Sacred Spirit,14/1/2019,19,0,19,2019,1
Just Friends,14/1/2019,15,0,15,2019,2
nonn,14/1/2019,15,0,15,2019,2
